POW_SA2_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
101021007,15,30,5,0,45,13,5,0,0,24,19,14,0,0,31,0,3,0,0,7,3,9,0,0,13,3,3,0,0,6,3,9,0,0,11,3,3,0,0,3,0,0,0,0,0,61,73,3,0,138,87,27,0,0,115,47,8,0,0,52,26,13,0,0,36,4,0,0,0,8,10,0,0,0,10,5,3,0,0,11,3,0,0,0,10,25,3,0,0,23,0,0,0,0,4,216,55,0,0,273,99,58,5,0,161,63,11,0,0,77,45,28,0,0,71,9,0,0,0,8,10,8,0,0,26,8,0,0,0,14,6,8,0,0,16,27,8,0,0,32,0,0,0,0,4,270,131,3,0,409
101021008,5,14,4,0,24,5,3,0,0,14,14,19,0,0,32,0,0,0,0,4,0,9,0,0,15,0,4,0,0,5,5,0,0,0,5,3,3,0,0,7,0,0,0,0,0,39,61,5,0,105,7,3,0,0,7,9,0,0,0,13,26,6,3,0,31,23,0,0,0,23,6,0,0,0,3,5,0,0,0,7,0,0,0,0,3,7,4,0,0,7,0,0,0,0,0,77,16,3,0,93,10,18,4,0,30,12,3,0,0,23,42,24,3,0,64,18,0,0,0,21,10,10,0,0,20,5,6,0,0,10,7,0,0,0,10,10,4,0,0,16,0,0,0,0,4,115,76,11,0,197
101021009,11,55,16,0,84,30,43,10,0,80,15,41,0,0,47,10,16,0,0,23,0,7,0,0,18,5,12,0,0,17,8,4,0,0,8,0,8,0,0,13,0,5,0,0,11,75,192,30,3,299,11,16,0,0,30,46,9,0,0,58,45,18,0,0,66,30,0,0,0,27,7,3,0,0,10,4,5,0,0,3,18,0,0,0,18,14,5,0,0,23,3,0,0,0,3,167,59,6,0,232,19,75,19,0,115,75,53,9,0,136,54,58,0,0,114,35,17,0,0,47,7,16,0,0,26,4,16,0,0,23,16,4,0,0,21,20,15,0,0,34,4,5,0,0,15,241,247,36,3,531
101021010,4,88,24,0,119,7,7,4,0,21,13,71,0,0,81,0,6,0,0,6,4,23,3,0,33,0,4,0,0,9,4,8,0,0,16,0,9,0,0,13,0,3,4,0,12,44,215,41,0,293,6,6,4,0,15,14,0,0,0,14,36,13,0,0,49,9,0,0,0,8,4,3,0,0,7,5,0,0,0,4,15,0,0,0,12,21,4,0,0,27,0,0,0,0,3,110,26,5,5,143,13,91,26,0,132,25,7,4,0,31,48,78,0,0,127,7,3,0,0,13,8,25,3,0,33,4,7,0,0,14,19,8,0,0,31,25,14,0,0,32,5,3,4,0,11,151,238,39,5,432
101021012,13,63,20,0,97,33,24,0,0,48,23,75,4,0,101,0,0,0,0,0,7,19,3,0,35,0,5,0,0,10,6,6,0,0,11,3,10,0,0,18,3,0,0,0,3,91,207,31,0,332,11,8,0,0,20,37,5,0,0,41,51,19,0,0,68,19,0,0,0,22,10,7,0,0,17,0,0,0,0,3,12,6,0,0,15,13,3,0,0,18,0,0,0,0,0,157,42,0,0,203,24,72,23,0,119,63,22,0,0,92,74,91,4,0,167,20,0,0,0,23,23,29,3,0,52,3,8,0,0,9,16,5,0,0,25,19,18,0,0,36,4,0,0,0,4,251,251,28,0,533
101021610,5,12,8,0,22,3,4,0,0,7,4,16,0,0,20,0,0,0,0,0,5,9,0,0,10,0,0,0,0,0,6,0,0,0,5,5,3,0,0,9,0,0,0,0,0,26,42,11,0,70,4,0,0,0,4,12,0,0,0,19,13,0,0,0,21,11,0,0,0,8,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,7,6,0,0,7,0,0,0,0,0,50,12,0,0,61,10,12,8,0,27,19,3,0,0,29,17,13,0,0,40,8,0,0,0,7,3,5,0,0,8,4,0,0,0,4,6,0,0,0,3,3,11,0,0,17,0,0,0,0,0,73,47,11,0,132
101021611,45,84,5,0,128,47,37,7,0,91,26,45,0,0,68,6,4,0,0,11,16,32,0,0,46,9,10,0,0,18,15,19,0,0,28,7,17,0,0,29,8,3,0,0,14,173,249,13,0,438,71,33,0,0,102,79,12,0,0,90,75,15,0,0,90,28,0,0,0,32,23,5,0,0,29,3,0,0,0,3,16,0,0,0,14,27,5,0,0,31,0,0,0,0,3,325,75,0,0,403,112,114,3,0,236,129,55,7,0,185,101,56,0,0,156,32,3,0,0,37,39,40,0,0,82,13,10,0,0,22,28,23,0,0,47,37,24,0,0,59,6,8,0,0,16,495,322,15,3,837
101031013,4,27,0,0,34,0,6,0,0,5,4,7,0,0,13,0,0,0,0,0,0,9,0,0,9,0,3,0,0,3,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,14,60,3,0,76,46,34,0,3,81,3,0,0,0,5,14,0,0,0,21,8,0,0,0,7,0,5,0,0,5,0,0,0,0,6,5,0,0,0,5,5,5,0,0,10,0,0,0,0,0,78,50,0,3,137,49,65,0,3,116,6,5,0,0,6,18,13,0,0,35,8,0,0,0,8,0,10,0,0,9,3,3,0,0,14,3,5,0,0,11,7,0,0,0,14,0,0,0,0,0,95,111,3,3,214
101031014,7,60,5,3,73,12,24,0,0,35,5,22,0,0,32,0,4,0,0,4,6,18,5,0,26,3,13,0,0,18,0,6,0,0,11,4,5,0,0,12,0,5,0,0,3,43,158,15,0,213,19,31,0,5,53,22,10,6,0,39,52,25,0,0,78,11,4,0,0,19,4,6,0,0,11,0,0,0,0,3,8,0,0,0,11,19,10,0,0,28,4,3,0,0,8,145,86,6,8,241,30,89,5,3,127,32,32,8,0,72,56,48,0,0,105,10,8,0,0,24,14,24,5,0,38,3,15,0,0,21,8,7,0,0,20,23,15,0,0,33,4,5,0,0,12,181,241,19,7,451
101031015,18,22,3,0,36,6,0,0,0,14,4,5,0,0,10,0,0,0,0,0,0,11,0,0,14,0,3,0,0,8,4,3,0,0,3,0,3,0,0,3,0,0,0,0,3,35,45,3,0,87,75,51,0,0,128,9,4,0,0,12,14,7,0,0,21,0,0,0,0,0,5,0,0,0,5,4,0,0,0,3,3,5,0,0,8,16,0,0,0,16,0,0,0,0,4,125,71,0,3,195,88,70,3,0,163,19,3,0,0,22,20,13,0,0,33,5,0,0,0,5,7,7,0,0,14,3,3,0,0,5,7,3,0,0,13,15,4,0,0,15,3,0,0,0,3,162,114,3,3,284
