Period,States and Territories,SA4 name,SA3 name,SA2 name,ATMs,Bank_post,Branch,Other face-to-face,Total,ATM_prop,Branch_prop,Bank_post_prop,Other_prop
2021-06-30,ACT,Australian Capital Territory,Belconnen,Belconnen,16,1,9,1,27,0.5925925925925926,0.3333333333333333,0.037037037037037035,0.037037037037037035
2021-06-30,ACT,Australian Capital Territory,Belconnen,Bruce,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,Belconnen,Charnwood,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,ACT,Australian Capital Territory,Belconnen,Gooromon,0,0,1,0,1,0.0,1.0,0.0,0.0
2021-06-30,ACT,Australian Capital Territory,Belconnen,Hawker,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,ACT,Australian Capital Territory,Belconnen,Holt,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,ACT,Australian Capital Territory,Belconnen,Kaleen,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,Belconnen,Macquarie,4,1,2,0,7,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
2021-06-30,ACT,Australian Capital Territory,Canberra East,Canberra Airport,1,0,1,0,2,0.5,0.5,0.0,0.0
2021-06-30,ACT,Australian Capital Territory,Canberra East,Hume,1,0,0,0,1,1.0,0.0,0.0,0.0
2021-06-30,ACT,Australian Capital Territory,Canberra East,Majura,1,0,1,1,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
2021-06-30,ACT,Australian Capital Territory,Gungahlin,Gungahlin,11,1,7,0,19,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0
2021-06-30,ACT,Australian Capital Territory,Gungahlin,Hall,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,Gungahlin,Mitchell,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,Acton,3,0,1,0,4,0.75,0.25,0.0,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,Ainslie,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,Braddon,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,Campbell,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,Civic,18,2,16,5,41,0.43902439024390244,0.3902439024390244,0.04878048780487805,0.12195121951219512
2021-06-30,ACT,Australian Capital Territory,North Canberra,Dickson,8,1,4,0,13,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,Duntroon,0,0,4,0,4,0.0,1.0,0.0,0.0
2021-06-30,ACT,Australian Capital Territory,North Canberra,Hackett,1,0,0,0,1,1.0,0.0,0.0,0.0
