sa2code,sa2name,irsd,irsad,ier,ieo,population
101021007,Braidwood,1024.0,1001.0,1027.0,1008.0,4343.0
101021008,Karabar,994.0,982.0,1000.0,967.0,8517.0
101021009,Queanbeyan,1010.0,998.0,945.0,1000.0,11342.0
101021010,Queanbeyan - East,1025.0,1015.0,969.0,1025.0,5085.0
101021012,Queanbeyan West - Jerrabomberra,1098.0,1107.0,1109.0,1080.0,12744.0
101021610,Googong,1128.0,1154.0,1165.0,1127.0,6224.0
101021611,Queanbeyan Surrounds,1098.0,1105.0,1135.0,1073.0,16539.0
101031013,Bombala,965.0,935.0,976.0,919.0,2454.0
101031014,Cooma,982.0,953.0,964.0,943.0,6761.0
101031015,Cooma Surrounds,1039.0,1007.0,1066.0,985.0,3472.0
101031016,Jindabyne - Berridale,1054.0,1025.0,1016.0,1001.0,8035.0
101041017,Batemans Bay,946.0,909.0,957.0,894.0,8581.0
101041018,Batemans Bay - South,989.0,954.0,986.0,947.0,8938.0
101041019,Bega - Tathra,975.0,942.0,976.0,941.0,8872.0
101041020,Bega-Eden Hinterland,991.0,954.0,1007.0,958.0,9557.0
101041021,Broulee - Tomakin,1034.0,1002.0,1012.0,1011.0,3792.0
101041022,Deua - Wadbilliga,1025.0,929.0,989.0,993.0,43.0
101041023,Eden,910.0,880.0,931.0,861.0,3425.0
101041024,Eurobodalla Hinterland,995.0,954.0,1008.0,945.0,3525.0
101041025,Merimbula - Tura Beach,1012.0,970.0,996.0,960.0,11513.0
101041026,Moruya - Tuross Head,993.0,949.0,991.0,945.0,8600.0
101041027,Narooma - Bermagui,986.0,946.0,976.0,953.0,9888.0
101051539,Goulburn,957.0,933.0,964.0,918.0,24565.0
101051540,Goulburn Surrounds,1017.0,987.0,1042.0,965.0,13839.0
101061541,Yass,1018.0,992.0,1025.0,978.0,6763.0
101061542,Yass Surrounds,1086.0,1092.0,1126.0,1079.0,12713.0
101061543,Young,940.0,912.0,957.0,904.0,11004.0
101061544,Young Surrounds,970.0,948.0,993.0,956.0,7677.0
102011028,Avoca Beach - Copacabana,1079.0,1084.0,1103.0,1084.0,7513.0
102011029,Box Head - MacMasters Beach,1064.0,1051.0,1074.0,1046.0,11042.0
102011030,Calga - Kulnura,1027.0,1021.0,1051.0,1003.0,4716.0
102011031,Erina - Green Point,1033.0,1028.0,1047.0,1011.0,14758.0
102011032,Gosford - Springfield,983.0,986.0,939.0,1016.0,21204.0
102011033,Kariong,1035.0,1012.0,1054.0,987.0,6485.0
102011034,Kincumber - Picketts Valley,1013.0,992.0,1019.0,986.0,7615.0
102011035,Narara,1026.0,1006.0,1046.0,991.0,7157.0
102011036,Niagara Park - Lisarow,1040.0,1024.0,1062.0,1005.0,8205.0
102011037,Point Clare - Koolewong,1033.0,1025.0,1017.0,1028.0,6571.0
102011038,Saratoga - Davistown,1056.0,1028.0,1060.0,1000.0,7160.0
102011039,Terrigal - North Avoca,1078.0,1085.0,1078.0,1078.0,14849.0
102011040,Umina - Booker Bay - Patonga,977.0,965.0,966.0,963.0,24697.0
102011041,Wamberal - Forresters Beach,1081.0,1077.0,1097.0,1060.0,10675.0
102011042,Woy Woy - Blackwall,951.0,946.0,935.0,949.0,14346.0
102011043,Wyoming,981.0,959.0,986.0,965.0,11423.0
102021044,Bateau Bay - Killarney Vale,991.0,966.0,1004.0,947.0,22825.0
102021045,Blue Haven - San Remo,920.0,886.0,977.0,855.0,11290.0
102021046,Budgewoi - Buff Point - Halekula,954.0,918.0,972.0,899.0,9728.0
